-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-
-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,←,←,←,-
-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,←,←,←,-
-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,→,→,→,→,-
-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,→,→,→,→,-
-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-
-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,+,+,+,+,-
-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,+,+,+,+,-
-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,⇢,+,+,+,+,-
-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,⇢,+,+,+,+,-
-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,↓,↓,⇡,⇡,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,↓,↓,↑,↑,-
-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,←,←,←,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,→,→,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-
-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-
-,-,-,-,-,-,-,-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-
-,-,-,-,-,-,-,-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-
-,-,-,-,-,-,-,-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-
-,-,-,-,-,-,-,-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
