-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,+,+,→,→,→,→,⇢,→,→,→,→,→,→,⇢,+,+,→,→,→,→,→,→,-
-,-,-,-,-,-,-,-,+,+,→,→,→,→,⇢,→,→,→,→,→,→,⇢,+,+,→,→,→,→,→,→,-
-,-,-,-,-,-,-,-,⇡,⇡,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,⇡,⇡,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,-,-,-,-,-,-,-
-,-,←,←,←,←,←,←,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,+,+,⇠,←,←,←,←,-,-
-,-,←,←,←,←,←,←,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,+,+,⇠,←,←,←,←,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
