-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,+,+,+,+,⇠,←,←,←,←,←,←,←,←,←,←,←,←,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,+,+,+,+,→,→,→,→,→,→,→,→,→,→,→,→,⇢,+,+,+,+,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,⇡,⇡,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,⇣,⇣,↑,↑,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,←,←,←,-
-,↓,↓,↑,↑,-,-,-,-,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,+,+,+,+,⇠,←,←,←,←,←,←,←,-
-,↓,↓,↑,↑,-,-,-,-,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,→,→,→,→,-
-,↓,↓,↑,↑,-,-,-,-,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,⇢,+,+,+,+,→,→,→,→,→,→,→,→,-
-,↓,↓,↑,↑,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,↓,↓,⇡,⇡,-,-,-,-,-,-,-,-,-
-,↓,↓,↑,↑,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,↓,↓,↑,↑,-,-,-,-,-,-,-,-,-
